2025-09-13 14:48:36,693: Special: Key.ctrl_l
2025-09-13 14:48:36,990: Key: 
2025-09-13 14:48:47,190: Key: d
2025-09-13 14:48:47,302: Key: i
2025-09-13 14:48:47,542: Special: Key.enter
2025-09-13 14:48:48,662: Key: d
2025-09-13 14:48:48,798: Key: i
2025-09-13 14:48:48,902: Key: r
2025-09-13 14:48:49,062: Special: Key.enter
2025-09-13 14:48:50,086: Key: c
2025-09-13 14:48:50,182: Key: d
2025-09-13 14:48:50,350: Special: Key.space
2025-09-13 14:48:50,670: Special: Key.shift
2025-09-13 14:48:50,910: Key: K
2025-09-13 14:48:51,270: Special: Key.tab
2025-09-13 14:48:51,734: Special: Key.enter
2025-09-13 14:48:52,382: Key: d
2025-09-13 14:48:52,494: Key: i
2025-09-13 14:48:52,630: Key: r
2025-09-13 14:48:52,766: Special: Key.enter
2025-09-13 14:48:53,630: Key: c
2025-09-13 14:48:53,758: Key: d
2025-09-13 14:48:53,950: Special: Key.space
2025-09-13 14:48:54,414: Special: Key.shift
2025-09-13 14:48:54,822: Key: H
2025-09-13 14:48:55,150: Special: Key.tab
2025-09-13 14:48:55,670: Special: Key.enter
2025-09-13 14:48:56,630: Special: Key.ctrl_l
2025-09-13 14:48:56,982: Key: 
2025-09-13 14:48:57,758: Special: Key.enter
2025-09-13 14:49:22,438: Key: a
2025-09-13 14:49:22,638: Key: a
2025-09-13 14:49:22,710: Key: s
2025-09-13 14:49:22,806: Key: d
2025-09-13 14:49:22,958: Key: a
2025-09-13 14:49:23,038: Key: s
2025-09-13 14:49:23,126: Key: d
2025-09-13 14:49:23,278: Key: s
2025-09-13 14:49:23,430: Key: d
2025-09-13 14:50:02,735: Key: t
2025-09-13 14:50:02,790: Key: e
2025-09-13 14:50:02,902: Key: s
2025-09-13 14:50:03,014: Key: t
2025-09-13 14:50:03,966: Key: .
2025-09-13 14:50:04,350: Key: t
2025-09-13 14:50:04,774: Key: t
2025-09-13 14:50:05,230: Special: Key.backspace
2025-09-13 14:50:05,398: Key: x
2025-09-13 14:50:06,502: Key: t
2025-09-13 14:50:06,862: Special: Key.enter
2025-09-13 14:50:09,222: Key: a
2025-09-13 14:50:09,278: Key: s
2025-09-13 14:50:09,382: Key: d
2025-09-13 14:50:09,582: Key: a
2025-09-13 14:50:09,606: Key: s
2025-09-13 14:50:09,702: Key: d
2025-09-13 14:50:19,846: Key: a
2025-09-13 14:50:19,902: Key: s
2025-09-13 14:50:20,070: Key: d
2025-09-13 14:50:21,023: Special: Key.enter
2025-09-13 14:50:21,462: Key: a
2025-09-13 14:50:21,486: Key: s
2025-09-13 14:50:21,590: Key: d
2025-09-13 14:50:21,758: Key: s
2025-09-13 14:50:21,766: Key: a
2025-09-13 14:50:21,870: Key: d
2025-09-13 14:50:21,974: Special: Key.enter
2025-09-13 14:50:22,263: Key: a
2025-09-13 14:50:22,270: Key: s
2025-09-13 14:50:22,390: Key: d
2025-09-13 14:50:22,462: Special: Key.enter
2025-09-13 14:50:22,607: Key: a
2025-09-13 14:50:22,662: Key: s
2025-09-13 14:50:22,750: Key: d
2025-09-13 14:50:22,774: Special: Key.enter
2025-09-13 14:50:42,847: Key: t
2025-09-13 14:50:42,934: Key: e
2025-09-13 14:50:43,167: Key: s
2025-09-13 14:50:43,390: Key: t
